	"Overall"		"var"	   "Variables"	"Resample"
"16426"	8.7360691534222		"Nwalks"	6	"Fold065"
"16427"	8.12356163787092	"Nrunsbatted"	6	"Fold065"
"16428"	8.09394143734872	"Nhits"		6	"Fold065"
"16429"	6.66564545825141	"Nyears_in_the_major_leagues"	6	"Fold065"
"16430"	6.41282280462462	"Nhits_career"	6	"Fold065"

"16678"	10.7005636672481	"Nputouts"	6	"Fold066"
"16679"	8.64810365093227	"Nhits"	6	"Fold066"
"16680"	7.98411312340724	"Nrunsbatted"	6	"Fold066"
"16681"	7.68242240916719	"Nrunsbatted_career"	6	"Fold066"
"16682"	7.54374638788784	"Nhits_career"	6	"Fold066"
"16683"	7.51961936037275	"Nwalks"	6	"Fold066"

"16931"	9.93669267621892	"Nputouts"	6	"Fold067"
"16932"	8.96232679164156	"Nwalks"	6	"Fold067"
"16933"	7.72429784873531	"Nhits_career"	6	"Fold067"
"16934"	7.12898420968973	"Nbat_career"	6	"Fold067"
"16935"	6.8862942918429		"Nhits"		6	"Fold067"
"16936"	6.23569861827168	"Nwalks_career"	6	"Fold067"

"17184"	9.72216137204762	"Nputouts"	6	"Fold068"
"17185"	9.28268933738583	"Nhits"		6	"Fold068"
"17186"	9.22414999981316	"Nwalks"	6	"Fold068"
"17187"	9.05513842583252	"Nbat_career"	6	"Fold068"
"17188"	7.94287593368603	"Nhits_career"	6	"Fold068"
"17189"	6.92499915843191	"Nrunsbatted"	6	"Fold068"

"17437"	10.7346502411822	"Nwalks"	6	"Fold069"
"17438"	10.5210136610681	"Nputouts"	6	"Fold069"
"17439"	9.95248622182318	"Nhits"		6	"Fold069"
"17440"	9.76236933398892	"Nbat_career"	6	"Fold069"
"17441"	8.11916503051225	"Nhits_career"	6	"Fold069"
"17442"	7.84821478915233	"Nrunsbatted"	6	"Fold069"

"17690"	10.5237253395801	"Nputouts"	6	"Fold070"
"17691"	8.92577727832052	"Nwalks"	6	"Fold070"
"17692"	8.32937899519073	"Nbat_career"	6	"Fold070"
"17693"	7.63821406437885	"Nruns_career"	6	"Fold070"
"17694"	7.47854394356749	"Nwalks_career"	6	"Fold070"
